FC Dallas; 2006; 32; 48; 51; 398; 168; 0; 0; 476; 419; 58; 2; 5; 109; 69.4; 1.38; 16; 239,714; 14,982; 16; 264,307; 16,519
New York Red Bulls; 2006; 32; 41; 38; 392; 170; 4; 5; 540; 450; 63; 4; 10; 145; 77.5; 1.28; 16; 233,112; 14,569; 16; 232,174; 14,510
Columbus Crew; 2006; 32; 30; 24; 358; 145; 4; 5; 512; 468; 56; 5; 7; 138; 74.2; 1.31; 16; 212,699; 13,293; 16; 220,591; 13,786
Kansas City Wizards; 2006; 32; 43; 35; 408; 180; 4; 6; 399; 460; 51; 4; 6; 104; 69.3; 1.41; 16; 177,322; 11,082; 16; 225,194; 14,074
Colorado Rapids; 2006; 32; 36; 38; 364; 149; 3; 3; 420; 402; 65; 6; 9; 114; 67.9; 1.53; 16; 192,894; 12,055; 16; 246,340; 15,396
Chivas USA; 2006; 32; 45; 44; 363; 174; 4; 4; 437; 401; 56; 3; 10; 107; 68.2; 1.31; 16; 317,432; 19,839; 16; 235,605; 14,725
Los Angeles Galaxy; 2006; 32; 37; 39; 335; 144; 1; 1; 532; 501; 57; 0; 9; 99; 72.8; 1.16; 16; 333,016; 20,813; 16; 318,870; 19,929
Real Salt Lake; 2006; 32; 45; 42; 355; 147; 5; 6; 422; 416; 59; 5; 4; 115; 67.3; 1.53; 16; 261,855; 16,365; 16; 246,209; 15,388
D.C. United; 2006; 32; 52; 49; 379; 194; 3; 3; 454; 433; 63; 5; 8; 106; 70.7; 1.19; 16; 291,442; 18,215; 16; 227,088; 14,193
Houston Dynamo; 2006; 32; 44; 41; 348; 158; 2; 3; 502; 530; 51; 7; 5; 85; 64.4; 1.25; 16; 302,957; 18,934; 16; 199,553; 12,472
Chicago Fire; 2007; 30; 31; 24; 312; 156; 3; 4; 393; 420; 60; 5; 11; 117; 74.5; 1.2; 15; 247,356; 16,490; 15; 261,270; 17,418
New England Revolution; 2007; 30; 51; 44; 398; 193; 3; 4; 381; 461; 47; 1; 10; 120; 71; 1.43; 15; 251,812; 16,787; 15; 223,544; 14,902
Toronto FC; 2007; 30; 25; 25; 277; 152; 1; 1; 494; 422; 62; 7; 5; 115; 68; 1.63; 15; 301,947; 20,129; 15; 221,650; 14,776
FC Dallas; 2007; 30; 37; 32; 350; 154; 5; 5; 465; 445; 64; 4; 7; 110; 69.6; 1.47; 15; 227,182; 15,145; 15; 250,220; 16,681
New York Red Bulls; 2007; 30; 47; 40; 396; 178; 5; 6; 424; 361; 39; 4; 9; 116; 69; 1.5; 15; 247,948; 16,529; 15; 245,844; 16,389
Columbus Crew; 2007; 30; 39; 46; 384; 178; 2; 3; 417; 482; 46; 3; 8; 106; 69.7; 1.47; 15; 228,451; 15,230; 15; 240,155; 16,010
Kansas City Wizards; 2007; 30; 45; 46; 420; 181; 2; 3; 387; 483; 58; 3; 5; 110; 69.2; 1.5; 15; 173,784; 11,585; 15; 240,809; 16,053
Colorado Rapids; 2007; 30; 29; 22; 322; 117; 5; 5; 444; 403; 60; 7; 9; 121; 75.2; 1.13; 15; 221,229; 14,748; 15; 215,154; 14,343
Chivas USA; 2007; 30; 46; 51; 354; 175; 3; 3; 434; 412; 62; 4; 14; 100; 74.1; 0.93; 15; 214,578; 14,305; 15; 239,588; 15,972
Los Angeles Galaxy; 2007; 30; 38; 33; 315; 127; 5; 7; 354; 385; 48; 5; 5; 125; 69.8; 1.6; 15; 363,782; 24,252; 15; 420,525; 28,035
Real Salt Lake; 2007; 30; 31; 20; 345; 148; 5; 6; 412; 428; 63; 5; 7; 152; 74.1; 1.5; 15; 239,395; 15,959; 15; 236,047; 15,736
